SiteName,County,AQI,Pollutant,Status,SO2,CO,CO_8hr,O3,O3_8hr,PM10,PM2.5,NO2,NOx,NO,WindSpeed,WindDirec,PublishTime,PM2.5_AVG,PM10_AVG,SO2_AVG,Longitude,Latitude,SiteId
基隆,基隆市,58,細懸浮微粒,普通,1.5,0.56,0.5,11.7,19,33,,32.2,40.9,8.7,1,284,2021/12/23 12:00:00,18,26,0,121.760056,25.129167,1
汐止,新北市,63,細懸浮微粒,普通,1.1,0.38,0.4,23.7,12,35,21,26.2,31.4,5.2,0.7,51,2021/12/23 12:00:00,20,34,0,121.6423,25.067131,2
萬里,新北市,46,,良好,0.3,0.26,0.2,44,43,27,9,9.2,10.7,1.4,1.6,338,2021/12/23 12:00:00,14,42,0,121.689881,25.179667,3
新店,新北市,49,,良好,1,0.48,,29,20,32,18,22.5,27,4.5,1,37,2021/12/23 12:00:00,15,29,0,121.537778,24.977222,4
土城,新北市,53,細懸浮微粒,普通,0.5,0.48,0.5,34.3,26,45,17,21,24.3,3.3,1.2,349,2021/12/23 12:00:00,16,32,0,121.451861,24.982528,5
板橋,新北市,50,,良好,1.3,0.51,0.4,31.2,37,38,12,23.9,27.4,3.4,1.3,74,2021/12/23 12:00:00,15,36,0,121.458667,25.012972,6
新莊,新北市,58,細懸浮微粒,普通,,,0.5,27.9,34,,17,,,,1.6,36,2021/12/23 12:00:00,18,39,0,121.4325,25.037972,7
菜寮,新北市,61,細懸浮微粒,普通,1.1,0.66,0.6,22.5,29,40,21,30.7,36.2,5.4,0.8,51,2021/12/23 12:00:00,19,35,0,121.481028,25.06895,8
林口,新北市,60,細懸浮微粒,普通,1,0.42,0.5,28.8,23,42,17,22.8,28.7,5.9,2.1,47,2021/12/23 12:00:00,19,41,0,121.376869,25.077197,9
淡水,新北市,55,細懸浮微粒,普通,0.6,0.48,0.5,27.6,16,31,16,21.3,24.7,3.4,1.2,70,2021/12/23 12:00:00,17,33,0,121.449239,25.1645,10
士林,臺北市,64,細懸浮微粒,普通,0.8,0.63,0.5,8.8,13,49,21,44.7,57.7,13,0.3,258,2021/12/23 12:00:00,20,40,0,121.515389,25.105417,11
中山,臺北市,59,細懸浮微粒,普通,0.8,0.55,0.5,23.3,27,37,16,29.7,35.9,6.2,1.2,136,2021/12/23 12:00:00,18,37,0,121.526528,25.062361,12
萬華,臺北市,63,細懸浮微粒,普通,0.7,0.54,0.4,19.9,28,34,19,34,40.9,6.9,1.3,91,2021/12/23 12:00:00,20,37,0,121.507972,25.046503,13
古亭,臺北市,52,細懸浮微粒,普通,0.8,0.34,0.3,34.6,41,37,14,16.6,18.7,2,0.7,70,2021/12/23 12:00:00,15,36,0,121.529556,25.020608,14
松山,臺北市,53,細懸浮微粒,普通,1.6,0.37,0.4,27.8,21,35,20,22.4,26.9,4.4,1.2,35,2021/12/23 12:00:00,16,37,1,121.578611,25.05,15
大同,臺北市,79,細懸浮微粒,普通,1.8,1.93,1.9,4.6,4,65,24,47.3,114.4,67,-,-,2021/12/23 12:00:00,27,55,1,121.513311,25.0632,16
桃園,桃園市,65,細懸浮微粒,普通,1.2,0.65,0.5,22.4,29,44,20,29.2,34.1,4.9,1.3,350,2021/12/23 12:00:00,21,39,2,121.30872222,24.98677778,17
大園,桃園市,55,細懸浮微粒,普通,1.2,0.23,0.2,38.9,36,37,16,13.5,17.6,4,5.1,80,2021/12/23 12:00:00,17,38,1,121.201811,25.060344,18
觀音,桃園市,57,細懸浮微粒,普通,0.8,0.19,0.2,42.1,43,39,15,9.3,10.9,1.6,4.4,47,2021/12/23 12:00:00,18,46,2,121.082761,25.035503,19
平鎮,桃園市,62,細懸浮微粒,普通,0.9,0.51,0.5,20.7,27,42,21,33.1,39.2,6,1.5,27,2021/12/23 12:00:00,19,39,1,121.203986,24.952786,20
龍潭,桃園市,44,,良好,1.7,0.54,0.3,31.5,43,41,17,20.2,22.9,2.7,1.6,7,2021/12/23 12:00:00,13,30,1,121.21635,24.863869,21
湖口,新竹縣,59,細懸浮微粒,普通,1.8,0.23,0.2,39.6,37,41,15,11.5,12.8,1.2,2.4,42,2021/12/23 12:00:00,18,32,1,121.038653,24.900142,22
竹東,新竹縣,39,,良好,0.8,0.36,0.3,33.3,37,38,17,15.1,16.5,1.4,1.1,302,2021/12/23 12:00:00,12,23,0,121.088903,24.740644,23
新竹,新竹市,57,細懸浮微粒,普通,,,0.4,26.9,31,,23,,,,2.2,38,2021/12/23 12:00:00,18,32,0,120.972075,24.805619,24
頭份,苗栗縣,67,細懸浮微粒,普通,3,0.45,0.5,28.8,31,47,22,26.5,31.9,5.4,1.7,42,2021/12/23 12:00:00,22,36,1,120.898572,24.696969,25
苗栗,苗栗縣,65,細懸浮微粒,普通,2.1,0.47,0.4,25.7,24,39,24,25.9,31.8,5.9,2.3,38,2021/12/23 12:00:00,21,29,2,120.8202,24.565269,26
三義,苗栗縣,34,,良好,1.2,0.33,0.2,25.6,34,17,13,8.9,11.7,2.8,3.3,23,2021/12/23 12:00:00,10,11,1,120.758833,24.382942,27
豐原,臺中市,37,,良好,1.6,0.35,0.3,21.1,16,20,15,10.1,14.2,4.1,2.2,338,2021/12/23 12:00:00,11,14,1,120.741711,24.256586,28
沙鹿,臺中市,61,細懸浮微粒,普通,1.6,0.35,0.3,31.7,29,33,20,15.3,20,4.7,2.8,8,2021/12/23 12:00:00,19,27,1,120.568794,24.225628,29
大里,臺中市,54,細懸浮微粒,普通,2.1,0.55,0.5,22.7,14,36,19,25.8,35.4,9.5,1,9,2021/12/23 12:00:00,16,29,1,120.67844444,24.09961111,30
忠明,臺中市,45,,良好,1.8,0.47,0.4,23.6,20,28,17,23.6,33.6,9.9,1.5,26,2021/12/23 12:00:00,14,21,1,120.641092,24.151958,31
西屯,臺中市,54,細懸浮微粒,普通,1.2,0.36,0.3,27.7,25,33,19,16.3,23.1,6.7,3.4,17,2021/12/23 12:00:00,16,27,0,120.616917,24.162197,32
彰化,彰化縣,58,細懸浮微粒,普通,1.9,0.45,0.4,28.7,21,40,20,20,27.7,7.7,2.4,340,2021/12/23 12:00:00,18,28,1,120.541519,24.066,33
線西,彰化縣,62,細懸浮微粒,普通,3.5,0.47,0.3,31.1,31,46,18,20.9,27.5,6.5,4.1,20,2021/12/23 12:00:00,19,36,3,120.469061,24.131672,34
二林,彰化縣,58,細懸浮微粒,普通,5.9,0.6,0.4,32.5,33,53,18,19.1,25.8,6.7,3.2,25,2021/12/23 12:00:00,18,40,1,120.409653,23.925175,35
南投,南投縣,56,細懸浮微粒,普通,2.1,0.5,0.4,28.3,15,37,21,17.6,25.2,7.6,2.2,42,2021/12/23 12:00:00,17,29,1,120.685306,23.913,36
斗六,雲林縣,74,細懸浮微粒,普通,2,0.46,0.4,32.2,16,48,29,15.2,21.8,6.5,1.4,332,2021/12/23 12:00:00,25,41,1,120.544994,23.711853,37
崙背,雲林縣,65,細懸浮微粒,普通,4,0.41,0.3,31.4,28,61,23,17.8,23.6,5.7,1.8,340,2021/12/23 12:00:00,21,40,1,120.348742,23.757547,38
新港,嘉義縣,76,細懸浮微粒,普通,1.8,0.39,0.3,,,43,31,10,13.7,3.7,2.9,8,2021/12/23 12:00:00,25,35,0,120.345531,23.554839,39
朴子,嘉義縣,75,細懸浮微粒,普通,2.9,0.46,0.3,36.3,25,50,28,13.3,16.7,3.4,1.8,354,2021/12/23 12:00:00,25,39,1,120.24781111,23.46712222,40
臺西,雲林縣,62,細懸浮微粒,普通,2.2,0.27,0.4,55.9,38,35,17,5.1,6.4,1.3,6.4,27,2021/12/23 12:00:00,20,38,2,120.19933333,23.702175,41
嘉義,嘉義市,76,細懸浮微粒,普通,3.4,0.46,0.4,26.8,13,51,31,17.7,25.5,7.7,2.7,20,2021/12/23 12:00:00,25,42,3,120.44083333,23.462778,42
新營,臺南市,82,細懸浮微粒,普通,1.8,0.45,0.3,34.3,16,46,34,15.1,19.9,4.7,2.4,14,2021/12/23 12:00:00,27,36,0,120.31725,23.305633,43
善化,臺南市,89,細懸浮微粒,普通,3,0.44,0.3,25.6,14,50,37,17,24.3,7.3,3,2,2021/12/23 12:00:00,30,41,2,120.297142,23.115097,44
安南,臺南市,86,細懸浮微粒,普通,2.2,0.46,0.4,32.1,15,54,40,15.8,21.4,5.6,2.6,330,2021/12/23 12:00:00,29,44,1,120.2175,23.048197,45
臺南,臺南市,109,細懸浮微粒,對敏感族群不健康,2.4,0.57,0.5,27.2,15,64,45,21.4,29.3,7.8,2.3,344,2021/12/23 12:00:00,38,51,1,120.202617,22.984581,46
美濃,高雄市,58,細懸浮微粒,普通,1.1,0.32,0.3,37,10,20,12,5,5.9,0.8,1.4,280,2021/12/23 12:00:00,18,35,1,120.530542,22.883583,47
橋頭,高雄市,127,細懸浮微粒,對敏感族群不健康,2.2,0.64,0.5,20.2,7,69,50,27.8,38.1,10.3,1.4,358,2021/12/23 12:00:00,45,58,1,120.305689,22.757506,48
仁武,高雄市,108,細懸浮微粒,對敏感族群不健康,1.9,0.48,0.5,22.4,5,64,39,30.7,40,9.2,1.3,335,2021/12/23 12:00:00,38,55,1,120.332631,22.689056,49
鳳山,高雄市,119,細懸浮微粒,對敏感族群不健康,4.8,0.89,0.8,18.4,5,65,48,39.8,56.8,17,0.8,285,2021/12/23 12:00:00,42,60,3,120.358083,22.627392,50
大寮,高雄市,120,細懸浮微粒,對敏感族群不健康,3.1,0.44,0.5,30.1,6,55,37,20,26.8,6.7,2.3,346,2021/12/23 12:00:00,42,63,2,120.425311,22.56413611,51
林園,高雄市,124,細懸浮微粒,對敏感族群不健康,5.9,,0.5,34.7,8,63,35,18.2,23.1,4.9,1.6,180,2021/12/23 12:00:00,44,69,3,120.41175,22.4795,52
楠梓,高雄市,76,細懸浮微粒,普通,,,0.5,,2,54,33,,,,1.2,322,2021/12/23 12:00:00,25,45,1,120.328289,22.733667,53
左營,高雄市,103,細懸浮微粒,對敏感族群不健康,3.5,0.65,0.6,23.8,7,65,43,27.4,35.7,8.3,1.9,304,2021/12/23 12:00:00,36,53,2,120.292917,22.674861,54
前金,高雄市,113,細懸浮微粒,對敏感族群不健康,2.6,0.66,0.6,23.1,8,71,41,26,35,8.9,2.4,344,2021/12/23 12:00:00,40,59,1,120.288086,22.632567,56
前鎮,高雄市,84,細懸浮微粒,普通,2.2,0.73,0.8,29.6,7,57,28,29.9,39.3,9.4,2.1,19,2021/12/23 12:00:00,28,58,2,120.307564,22.605386,57
小港,高雄市,108,細懸浮微粒,對敏感族群不健康,2.2,0.59,0.7,27.3,4,50,,33.6,46.6,13,1.9,4,2021/12/23 12:00:00,38,53,2,120.337736,22.565833,58
屏東,屏東縣,95,細懸浮微粒,普通,1.2,0.38,0.5,34.7,8,51,31,10.4,12.4,2,1.9,334,2021/12/23 12:00:00,33,57,1,120.488033,22.673081,59
潮州,屏東縣,88,細懸浮微粒,普通,2.1,0.35,0.4,38.9,12,42,28,6.3,7.8,1.4,1.6,287,2021/12/23 12:00:00,30,50,1,120.561175,22.523108,60
恆春,屏東縣,39,,良好,1,0.21,0.2,47.6,42,5,2,1.2,2.1,0.9,8.3,31,2021/12/23 12:00:00,4,7,0,120.788928,21.958069,61
臺東,臺東縣,30,,良好,1.6,0.33,0.3,46.8,32,19,4,6.9,9.4,2.5,2.7,77,2021/12/23 12:00:00,4,11,1,121.15045,22.755358,62
花蓮,花蓮縣,18,,良好,1.3,0.3,0.3,,,12,3,8.1,11.5,3.4,2.8,92,2021/12/23 12:00:00,5,11,0,121.599769,23.971306,63
陽明,臺北市,51,臭氧八小時,普通,0.7,0.21,0.2,51.2,55,0,0,1,1.8,0.8,1.3,200,2021/12/23 12:00:00,1,3,0,121.529583,25.182722,64
宜蘭,宜蘭縣,31,,良好,0.6,0.23,0.2,51.9,33,9,5,3.7,4.4,0.7,0.8,226,2021/12/23 12:00:00,4,8,0,121.746394,24.747917,65
冬山,宜蘭縣,30,,良好,0.7,0.23,0.2,46.6,32,17,4,5.5,7.2,1.7,1,247,2021/12/23 12:00:00,3,10,0,121.792928,24.632203,66
三重,新北市,69,細懸浮微粒,普通,1.2,1.34,1.3,7.1,11,60,22,51.5,117.3,65.8,-,-,2021/12/23 12:00:00,22,48,1,121.493806,25.072611,67
中壢,桃園市,64,細懸浮微粒,普通,2.2,0.85,0.7,2.8,15,55,23,48.6,108.5,59.9,0.4,333,2021/12/23 12:00:00,20,45,1,121.221667,24.953278,68
竹山,南投縣,67,細懸浮微粒,普通,2.1,0.36,0.4,29.4,9,48,30,16.3,19.6,3.2,1,165,2021/12/23 12:00:00,22,33,1,120.677306,23.756389,69
永和,新北市,59,細懸浮微粒,普通,1.2,0.61,0.5,27.9,36,43,17,21.8,29.2,7.3,1.5,95,2021/12/23 12:00:00,18,38,0,121.516306,25.017,70
復興,高雄市,115,細懸浮微粒,對敏感族群不健康,2.1,,1.1,25.3,5,,,,,,1.4,196,2021/12/23 12:00:00,40,66,1,120.312017,22.608711,71
埔里,南投縣,49,,良好,1.2,0.26,0.4,32.2,9,18,15,2.8,4.2,1.3,1.9,283,2021/12/23 12:00:00,15,23,1,120.967903,23.968842,72
馬祖,連江縣,95,細懸浮微粒,普通,2.7,0.32,0.3,42.1,44,47,21,8.2,9.5,1.3,2.2,311,2021/12/23 12:00:00,33,58,2,119.949875,26.160469,75
金門,金門縣,90,細懸浮微粒,普通,4.8,0.34,0.3,39,31,63,31,15.6,18.3,2.7,2.8,23,2021/12/23 12:00:00,31,61,3,118.312256,24.432133,77
馬公,澎湖縣,65,細懸浮微粒,普通,1,0.27,0.2,56.7,55,50,21,3.7,4.6,0.8,5.2,24,2021/12/23 12:00:00,21,48,0,119.566158,23.569031,78
關山,臺東縣,17,,良好,1.2,-,-,38.4,18,7,0,4.3,6.4,2,2.1,60,2021/12/23 12:00:00,3,11,1,121.161933,23.045083,80
麥寮,雲林縣,70,細懸浮微粒,普通,2,0.27,0.4,53.6,33,42,16,6.6,8.4,1.7,5.3,7,2021/12/23 12:00:00,23,39,3,120.251825,23.753506,83
富貴角,新北市,62,懸浮微粒,普通,0,0.17,0.1,52.3,57,64,21,1.8,1.8,0,0.8,109,2021/12/23 12:00:00,19,62,0,121.54738,25.29228,84
大城,彰化縣,56,細懸浮微粒,普通,1.3,0.23,0.3,55.8,38,36,12,6.7,8.3,1.5,6.1,19,2021/12/23 12:00:00,17,40,1,120.26964167,23.85493056,85
高雄(湖內),高雄市,108,細懸浮微粒,對敏感族群不健康,3.4,0.57,0.5,18.1,7,58,41,33.6,48,14.4,1.1,338,2021/12/23 12:00:00,38,52,1,120.24535,22.87985556,202
臺南(麻豆),臺南市,83,細懸浮微粒,普通,1.6,0.4,0.3,32.3,18,49,36,12,15.6,3.5,2.4,9,2021/12/23 12:00:00,28,46,1,120.24583056,23.17904722,203
屏東(琉球),屏東縣,85,細懸浮微粒,普通,6.6,0.7,0.6,35.5,15,58,30,21.7,27.2,5.5,1.9,333,2021/12/23 12:00:00,29,56,2,120.37722,22.35222,204
新北(樹林),新北市,51,細懸浮微粒,普通,0.8,0.49,0.5,20.4,19,34,,28.4,39,10.6,,,2021/12/23 12:00:00,15,26,0,121.38352778,24.94902778,311
臺南(學甲),臺南市,79,細懸浮微粒,普通,1.6,0.39,0.3,25.1,17,60,31,24.6,51.1,26.4,2.2,12,2021/12/23 12:00:00,27,47,1,120.18339722,23.23688056,312
屏東(枋寮),屏東縣,71,細懸浮微粒,普通,0.4,0.24,0.3,36,14,35,16,4.5,5,0.5,4.3,326,2021/12/23 12:00:00,23,42,0,120.59036944,22.38474167,313
